source,customer,suggested
YB - condenser,Pro Metal Recycling,YELLOW BRASS (SOLID, CLEAN)
7 bales,"Newco Metals, Inc",Cans
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
316 Stainless Steel Turnings,"Newco Metals, Inc",316 Stainless Steel Turnings
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",ALUMINUM EXTRUSION (PAINTED WITH IRON)
304 Stainless Steel Turnings,"Newco Metals, Inc",304 Stainless Steel Turnings
Clean Ext,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
Clean Extrusion,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
3003 Alum,"Newco Metals, Inc",3003 Aluminum
Stainless Steel Dumpster,"Newco Metals, Inc",STAINLESS STEEL
Stainless Steel Bkg,"Newco Metals, Inc",STAINLESS BREAKAGE
Mixed Stainless,"Newco Metals, Inc",STAINLESS STEEL
Al Wheels,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Thermal extrusion,"Newco Metals, Inc",THERMAL BREAK ALUMINUM EXTRUSION
Wheels = clean,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Wheels - dirty,"Newco Metals, Inc",ALUMINUM CAR WHEELS (DIRTY)
Bare EC wire,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
304 SST w/ Fe,"Newco Metals, Inc",304 Stainless Steel w/ Fe
Wheels = clean,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
SS Boring,"Newco Metals, Inc",STAINLESS STEEL TURNINGS
Fe turnings,"Newco Metals, Inc",STEEL TURNINGS  
irony ext,"Newco Metals, Inc",ALUMINUM EXTRUSION (PAINTED WITH IRON)
301 SS,"Newco Metals, Inc",301 Stainless Steel
3003,"Newco Metals, Inc",3003 Aluminum
Al wheels,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Ti turnings,"Newco Metals, Inc",Titanium Turnings
Ti solids,"Newco Metals, Inc",Titanium Solids
Al Turnings/ SS T,"Newco Metals, Inc",Aluminum Turnings/Stainless Steel Turnings
SPC,"Newco Metals, Inc",SPC (Small Piece Copper)
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
#2 ins Cat. 5-6,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
316 Stainless Steel Turnings,"Newco Metals, Inc",316 Stainless Steel Turnings
Painted Extrusion W/Iron ( Cast End Too),"Newco Metals, Inc",ALUMINUM EXTRUSION (PAINTED)
304 Stainless Steel Turnings,"Newco Metals, Inc",304 Stainless Steel Turnings
Clean Ext,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
Clean Extrusion,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
3003 Alum,"Newco Metals, Inc",3003 Aluminum
Stainless Steel Dumpster,"Newco Metals, Inc",STAINLESS STEEL
Stainless Steel Bkg,"Newco Metals, Inc",STAINLESS BREAKAGE
Mixed Stainless,"Newco Metals, Inc",STAINLESS STEEL
Al Wheels,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Thermal extrusion,"Newco Metals, Inc",THERMAL BREAK ALUMINUM EXTRUSION
Wheels = clean,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Wheels - dirty,"Newco Metals, Inc",ALUMINUM CAR WHEELS (DIRTY)
Bare EC wire,"Newco Metals, Inc",ALUMINUM EXTRUSION (BARE)
304 SST w/ Fe,"Newco Metals, Inc",304 Stainless Steel w/ Fe
Wheels = clean,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
SS Boring,"Newco Metals, Inc",STAINLESS STEEL TURNINGS
Fe turnings,"Newco Metals, Inc",STEEL TURNINGS  
irony ext,"Newco Metals, Inc",ALUMINUM EXTRUSION (PAINTED WITH IRON)    
301 SS,"Newco Metals, Inc",301 Stainless Steel
3003,"Newco Metals, Inc",3003 Aluminum
Al wheels,"Newco Metals, Inc",ALUMINUM CAR WHEELS (CLEAN)
Ti turnings,"Newco Metals, Inc",Titanium Turnings
Ti solids,"Newco Metals, Inc",Titanium Solids
Al Turnings/ SS T,"Newco Metals, Inc",ALuminum Turnings/Stainless Steel Turnings
SPC,"Newco Metals, Inc",SMALL PIECE COPPER (SPC)
NON FE:Alum/Cu Radiators,Pro Metal Recycling,
NON FE:Thermal extrusions,Pro Metal Recycling,
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,
NON FE:Alum/Cu Radiators,Pro Metal Recycling,ALUMINUM/CU RADIATORS (CLEAN)
NON FE:Thermal extrusions,Pro Metal Recycling,THERMAL BREAK ALUMINUM EXTRUSION
ACR,Pro Metal Recycling,
ACR,Pro Metal Recycling,

A/C rads,,Al/Cu Radiators (Clean)
AC rads,,Al/Cu Radiators (Clean)
AC Rads,,Al/Cu Radiators (Clean)
A/C rads  Dirty,,Al/Cu Radiators (Dirty)
Dirty A/C rads,,Al/Cu Radiators (Dirty)
Clean A/C rads,,Al/Cu Radiators (Clean)
A/C Rad - C,,Al/Cu Radiators (Clean)
A/C Rad - D,,Al/Cu Radiators (Dirty)
A/C Rads - C,,Al/Cu Radiators (Clean)
A/C Rads - D,,Al/Cu Radiators (Dirty)
A/C rad ends,,Radiator Ends (Cu Breakage)
Rad ends,,Radiator Ends (Cu Breakage)

Al car wheels,,Al Car Wheels
Al Car wheels,,Al Car Wheels
Car wheels,,Al Car Wheels
Auto wheels,,Al Car Wheels
Wheels,,Al Car Wheels
Dirty car wheels,,Al Car Wheels (Dirty)
Car wheels - chrome,,Al Car Wheels (Chrome)
Al truck wheels,,Al Truck Wheels
Truck wheels,,Al Truck Wheels
Truck rims,,Al Truck Wheels

bare ext,,Al Extrusion (Bare)
Bare Ext,,Al Extrusion (Bare)
Bare extrusion,,Al Extrusion (Bare)
New Bare Ext,,Al Extrusion (Bare)
Ptd ext,,Painted Aluminum Extrusion
Ptd Ext,,Painted Aluminum Extrusion
Painted Ext.,,Painted Aluminum Extrusion
Painted Ext,,Painted Aluminum Extrusion
Painted extrusion,,Painted Aluminum Extrusion
Ptd ect,,Painted Aluminum Extrusion
Thermo Ex,,Thermal Break Aluminum Extrusion
Thermal Ext,,Thermal Break Aluminum Extrusion
Thermal ext,,Thermal Break Aluminum Extrusion
Thermo brk,,Thermal Break Aluminum Extrusion
Thermo Break,,Thermal Break Aluminum Extrusion
Thermal break,,Thermal Break Aluminum Extrusion
Thermal break ext,,Thermal Break Aluminum Extrusion

AL 6061,,Al 6061 Solids
Al 6061,,Al 6061 Solids
6061 solids,,Al 6061 Solids
6063 Ext,,Al Extrusion 6063 (Old)
NP 6063,,Al Extrusion 6063 (New Production)
NP6063,,Al Extrusion 6063 (New Production)
NP 6061,,Al 6061 Solids
10/10 ext,,Al Extrusion 6063 10/10
10/10 Ext - 2 boxes,,Al Extrusion 6063 10/10
new anodized extrusion,,Al Extrusion (Painted/Anodized)

MLC,,MLC (Mixed Low Copper) Prepared
MLC (pallet),,MLC (Mixed Low Copper) Prepared
Al cast,,Al Cast (Clean)
Al Cast,,Al Cast (Clean)
Old cast alum,,Old Cast Aluminum
Old cast aluminum,,Old Cast Aluminum
Old cast Al,,Old Cast Aluminum
old cast,,Old Cast Aluminum
Aluminum old cast,,Old Cast Aluminum
Alum bkg,,Al Breakage
Alum Bkg,,Al Breakage
Alum bkg`,,Al Breakage
Al Boring,,Aluminum Turnings / Borings
Al turnings,,Aluminum Turnings
Al Turnings,,Aluminum Turnings
Al turnings w/ Fe,,Aluminum Turnings (With Fe)

SS,,Stainless
Stainless,,Stainless
304 SS,,Stainless 304 (Prepared)
304 Stainless,,Stainless 304 (Prepared)
Stainless 304,,Stainless 304 (Prepared)
Stainless sheets from Brock,,Stainless Sheet Scrap
Stainless bkg,,Stainless Breakage
Stainless solids,,Stainless Solids
Stainless turnings,,Stainless Steel Turnings
SS turnings,,Stainless Steel Turnings
SS Turnings,,Stainless Steel Turnings
SS sheets - B,,Stainless Sheet Scrap
316 SS,,Stainless 316 (Clean, Prepared)
316/312 SS,,Stainless (316/312 Mixed)
SST,,Stainless
SST 316 turnings,,Stainless Steel Turnings

Brass shell,,Brass Shells (Clean, No Chrome)
Brass shells,,Brass Shells (Clean, No Chrome)
Yellow Brass,,Yellow Brass (Solid, Clean)
Brass Yellow,,Yellow Brass (Solid, Clean)
Red Brass,,Composition / Red Brass (Ebony)
Semi red brass,,Composition / Red Brass (Ebony)
Plated Bus Bar,,Plated Bus Bar
Plated buss bar,,Plated Bus Bar
Brass tubes,,Yellow Brass (Tubing)

Ballasts,,Ballasts (Magnetic/Regular)
Ballast regular,,Ballasts (Magnetic/Regular)
Ballast Electronic,,Ballasts (Electronic)
Ballast electronic ballast,,Ballasts (Electronic)

Elec motors,,Mixed Electric Motors (Elmo)
Elec. Motors,,Mixed Electric Motors (Elmo)
E Motors,,Mixed Electric Motors (Elmo)
E-motors in box,,Mixed Electric Motors (Elmo)
E-motors on skid,,Mixed Electric Motors (Elmo)
Electric motors,,Mixed Electric Motors (Elmo)
electric motors,,Mixed Electric Motors (Elmo)
elec motors,,Mixed Electric Motors (Elmo)
elec motor,,Mixed Electric Motors (Elmo)
Elec Motor,,Mixed Electric Motors (Elmo)
Motors,,Mixed Electric Motors (Elmo)
Motors w/ gearbox,,Mixed Electric Motors (Elmo)
Elec motors w/ SS,,Mixed Electric Motors (Elmo)
EMotorLowGrade_CeilingFanMotors,,Electric Motors (Low Grade/Ceiling Fans)
EMotorLarge_LessThan1000lbs,,Electric Motors (Large <1000 lb)

Sealed units,,Sealed Units / Compressors (Vader)
Sealed Units,,Sealed Units / Compressors (Vader)
Compressor - sealed units,,Sealed Units / Compressors (Vader)
Compressors,,Sealed Units / Compressors (Vader)
Cast compressor,,Sealed Units / Compressors (Vader)
Compressor from Purdue,,Sealed Units / Compressors (Vader)

Transformers,,Transformers (Al/Cu)
Large transformers,,Transformers (Copper, Large)
Transformer,,Transformers (Al/Cu)
Transformers (small),,Transformers (Copper, Small)
Transformer Cu,,Transformers (Al/Cu)
Transformer Cu small (palm size),,Transformers (Copper, Small)
Transformer Cu medium (more than 200lbs),,Transformers (Copper, Medium)
Transformer Cu large,,Transformers (Copper, Large)
Aluminum BX Wire,,ICW #2 BX (Al)
Al BX wire,,ICW #2 BX (Al)
Fe BX wire,,ICW #2 BX (Fe, 24%)

Harness wire,,ICW #2 (50% & CAT5/Tel)
Harnesswire,,ICW #2 (50% & CAT5/Tel)
Harness Wire,,ICW #2 (50% & CAT5/Tel)
Harness Wire - SE,,ICW #2 (50% & CAT5/Tel)
Harness wire - KR,,ICW #2 (50% & CAT5/Tel)
Harness wire - IH,,ICW #2 (50% & CAT5/Tel)
HW - KR,,ICW #2 (50% & CAT5/Tel)
HW = KR,,ICW #2 (50% & CAT5/Tel)
H-Wire - B,,ICW #2 (50% & CAT5/Tel)
Cat 6 wire,,ICW #2 (50% & CAT5/Tel)
Cat. 5/6 wire,,ICW #2 (50% & CAT5/Tel)
Open eye Heliax,,ICW #1 (Heliax 57%, Baled)
Open eye Heliax wire,,ICW #1 (Heliax 57%, Baled)
Closed eye Heliax,,ICW #1 (Heliax 57%, Baled)
Closed eye heliax wire,,ICW #1 (Heliax 57%, Baled)
#1 Ins Cu,,ICW #1 (THHN 80%)
#1 Insulated,,ICW #1 (THHN 80%)
#1 insulated copper,,ICW #1 (THHN 80%)
#1 insulated wire,,ICW #1 (THHN 80%)
#1 Ins,,ICW #1 (THHN 80%)
#2 Ins,,ICW #2 (50% & CAT5/Tel)
#2 Insulated,,ICW #2 (50% & CAT5/Tel)
#2 ins cu,,ICW #2 (50% & CAT5/Tel)
#2 insulated copper,,ICW #2 (50% & CAT5/Tel)
#2 insulated wire,,ICW #2 (50% & CAT5/Tel)
#2 Ins wire,,ICW #2 (50% & CAT5/Tel)
low recovery wire,,ICW Low Grade (Mixed Wire 40%+)
URD wire,,Insulated Al Wire

ICW Low Grade Christmas Lights,,ICW Low Grade (Christmas Lights)
Xmas lights,,ICW Low Grade (Christmas Lights)
X-mas/harness wire mixed,,ICW Low Grade (Mixed Wire 40%+)
Jelly wire,,Insulated Copper Wire Scrap (Droid)

Cu Bkg,,Copper Breakage
Copper Bkg,,Copper Breakage
Cu bkg,,Copper Breakage
Cu BKG,,Copper Breakage
Brass bkg,,Brass Breakage
Brass BKG,,Brass Breakage
Zn die cast,,Zinc Die Cast
Zn Die Cast,,Zinc Die Cast
Zn,,Zinc Die Cast

Lead,,Scrap Lead — Soft (Racks)
Lead sheet,,Scrap Lead — Soft (Racks)
lead shot,,Range Lead (Indoor)
Range lead,,Range Lead (Indoor)
Range lead - indoor,,Range Lead (Indoor)
Wheel weights,,Lead Wheel Weights

U.B.C'S,,Alum Cans
pop tabs,,Alum Cans
catv,,CATV Al Wire (Bare)
CATV,,CATV Al Wire (Bare)
Plated buss bar,,Plated Bus Bar

Sheet iron,,Shred
Sheet Iron,,Shred
Clean sheet,,Old Sheet Aluminum
clean sheet,,Old Sheet Aluminum
Old aluminum sheet,,Old Sheet Aluminum
Old Alum Sheet,,Old Sheet Aluminum

FE:Busheling,,Busheling
Busheling from NHK #1,,Busheling
Busheling from NHK #3 Nissan scrap,,Busheling
Trial Load of Busheling,,Busheling
P&S 5',,P&S 5'
5' PNS,,P&S 5'
"5"" PNS",,P&S 5'
5' PNS , ,P&S 5'
Plate and Structural,,P&S
PNS,,P&S
Unppd Rail,,Unprepared HMS
Unprepared from Purdue,,Unprepared HMS
Unprepared,,Unprepared HMS
cast pipe,,Prepared Cast
FE:Cast Pipe/Misc,,Prepared Cast
Breakable Cast FE,,Prepared Cast
drums & rotors,,Drums & Rotors
Drums & Rotors,,Drums & Rotors
Car Bodies,,Shred
Car Bodies , ,Shred
carbodies,,Shred
autos,,Shred
Sheet Iron (light poles as UHMS),,Unprepared HMS
Torching, ,Unprepared HMS 


Al/Cu Rads clean,,Al/Cu Radiators (Clean)
Al/Cu Rads Clean,,Al/Cu Radiators (Clean)
Al/Cu Rad (clean),,Al/Cu Radiators (Clean)
Al/Cu Rad (dirty),,Al/Cu Radiators (Dirty)

Auto batteries,,Lead-Acid Batteries (Auto)
Auto battery,,Lead-Acid Batteries (Auto)
Auto Batts,,Lead-Acid Batteries (Auto)
Auto Batteries,,Lead-Acid Batteries (Auto)
steel case batteries,,Lead-Acid Batteries (Steel Case, Industrial)
Steelcase battery,,Lead-Acid Batteries (Steel Case, Industrial)

E-scrap,,E-Scrap (Mixed)
Escrap,,E-Scrap (Mixed)
E scrap,,E-Scrap (Mixed)
Escrap boards,,E-Scrap (Boards)
TVs,,E-Scrap (TV/Monitors)
TV/monitors,,E-Scrap (TV/Monitors)
mixed e-scrap,,E-Scrap (Mixed)
shredded e-scrap,,E-Scrap (Mixed)

Al/Cu rads clean,,Al/Cu Radiators (Clean)
Al/Cu rads dirty,,Al/Cu Radiators (Dirty)
auto rads,,Radiators (Auto, Mixed)
Auto rads,,Radiators (Auto, Mixed)

Torching,Mervis,Unprepared HMS (Torch Cut)
BUSHELING,Oscar Winski Company,Busheling
Busheling,Oscar Winski Company,Busheling
busheling,Oscar Winski Company,Busheling
Ferrous Sale,Oscar Winski Company,Clips
Purdue for Solotken,Oscar Winski Company,Prepared Cast (Industrial)
Purdue Scrap,Oscar Winski Company,Prepared Cast (Industrial)
Full Rail,Oscar Winski Company,Rail & OTM
Full Rail Load #1,Oscar Winski Company,RAIL & OTM
Purdue Iron for Solotken,Oscar Winski Company,Prepared Cast (Heavy Melt)
Purdue project for Solotken - last load,Oscar Winski Company,Prepared Cast (Heavy Melt)
From NHK #1,Oscar Winski Company,Busheling 

car bodies with motors,Lewis Salvage,Shred 
Busheling,Steel Dynamics Inc.,Busheling
Aluminum molds,Josh Padnos,Al Cast (Clean Tooling Aluminum)

dirty pipe,Rochester Iron & Metal,Unprepared HMS (Pipe)
BUSHELING,Rochester Iron & Metal,Busheling
Wire w/ concrete,Rochester Iron & Metal,Shred
Counterweights,Rochester Iron & Metal,UNBREAKABLE Cast (Industrial)
"wire, car, pipe",Rochester Iron & Metal,Unprepared HMS
dirty motors,Rochester Iron & Metal,Shred
NHK seats,Rochester Iron & Metal,Busheling
seats,Rochester Iron & Metal,Busheling
Car bodies,Rochester Iron & Metal,Shred
drums & rotors / per Josh,Rochester Iron & Metal,Drums & Rotors
Misc Unprepared Pipe from Fox,Rochester Iron & Metal,Unprepared HMS (Pipe)
Misc Pipe/Tractor Rearends,Rochester Iron & Metal,Unprepared HMS (Rear Ends)
Rebar,Rochester Iron & Metal,Rebar
Correction on Invoice 360013 Rebar,Rochester Iron & Metal,Rebar
Unprepared Pipe,Rochester Iron & Metal,Unprepared HMS (Pipe)
Substation Boxes,Rochester Iron & Metal,Shred
Drums and Rotors,Rochester Iron & Metal,Drums & Rotors
Unprepared FE,Rochester Iron & Metal,HMS #2
Bolts & Nuts,Rochester Iron & Metal,Bolt Scrap
Al Bkg,Rochester Iron & Metal,Al Breakage
Low Grade Sheet Iron,Rochester Iron & Metal,Shred
Pipe from solar farm,Rochester Iron & Metal,Unprepared HMS (Pipe)
Pipe from solar farm project,Rochester Iron & Metal,Unprepared HMS (Pipe)
SS Bkg,Rochester Iron & Metal,Stainless Breakage
Stainless Steel,Rochester Iron & Metal,Stainless
Heavy Unppd,Rochester Iron & Metal,Unprepared HMS (Heavy)
Unclean Motors and heavy torching,Rochester Iron & Metal,Electric Motors / Torch Cut HMS
Aluminum Bkg - 5 skids,Rochester Iron & Metal,Al Breakage
Welding wire - 5 drums,Rochester Iron & Metal,Wire Scrap (Fe Weld Wire)
Unclean motors,Rochester Iron & Metal,Shred
Light polies from Lebanon - pd as UHMS,Rochester Iron & Metal,Clips
Light poles from Lebanon - pd as UHMS,Rochester Iron & Metal,Clips
Al tanker from ML Farms,Rochester Iron & Metal,old sheet aluminum

Ni Pipe - Loose on Skid  Pending analysis,Alloys Tech Inc,Nickel Pipe 
D2 tool steel - (2) Steel Drums on Skids,Alloys Tech Inc,Tool Steel D2
Tungsten carbide dies and inserts - (1) Steel Drum on Skid,Alloys Tech Inc,Tungsten Carbide (Solid)
Taps - (1) Steel Drum on Skid,Alloys Tech Inc,High-Speed Steel (Taps & Bits)
"Mixed tool steel - (1) Steel Drum on Skid, (1) Plastic Bucket",Alloys Tech Inc,Tool Steel Mix (M7/D2)
Carbide - 1 drum,Alloys Tech Inc,Tungsten Carbide (Solid)
D2 - 6 barrels,Alloys Tech Inc,Tool Steel D2
Knife scrap - one B/S,Alloys Tech Inc,Tool Steel (Hardened Knives)
sorting adjustment,Alloys Tech Inc,IGNORE
4 barrels of D2,Alloys Tech Inc,Tool Steel D2
1 barrel of M7,Alloys Tech Inc,Tool Steel M7
Tool steel,Alloys Tech Inc,Tool Steel (H-13/M2/D2 Blend)
Carbide,Alloys Tech Inc,Tungsten Carbide (Solid)
mixed SS,Alloys Tech Inc,Stainless
D2,Alloys Tech Inc,Tool Steel D2
M7,Alloys Tech Inc,Tool Steel M7
Mixed tool steel,Alloys Tech Inc,Tool Steel Mix (M7/D2)
carbide - see sort report,Alloys Tech Inc,Tungsten Carbide (Solid)
carbide from Fontana,Alloys Tech Inc,Tungsten Carbide (Solid)

NON FE:Electric Motors,Pro Metal Recycling,Mixed Electric Motors (Elmo)
NON FE:Transformers,Pro Metal Recycling,Transformers (Al/Cu)
NON FE:#2 Copper,Pro Metal Recycling,No. 2 Copper (Birch/Cliff)
dirty auto rads,Pro Metal Recycling,Al/Cu Radiators (Dirty)

304 Stainless Steel,"Newco Metals, Inc", 304 Stainless
4 drums of 301 stainless,"Newco Metals, Inc", 301 Stainless
3 bales,"Newco Metals, Inc", Cans
Newco,"Newco Metals, Inc", Old Sheet Aluminum
40 yd roll off load,"Newco Metals, Inc", Old Sheet Aluminum
6 bales,"Newco Metals, Inc", Cans
4017 Bare 12-14  966904-2,MDK ZeroLandfill, 4017 Bare Extrusion
4017 Bare 12-20 966904-3,MDK ZeroLandfill, 4017 Bare Extrusion
Breakable Cast - Fox,Farnsworth Metal Recycling, Prepared Cast
Unprepared shearing from IISI,Farnsworth Metal Recycling, Unprepared HMS
Copper chops,Pro Metal Recycling, BB Chops
Western HS project 8 loads,J. Solotken & Company, Shred
Western HS project - shredder scrap,J. Solotken & Company, Shred
12 skids,MDK ZeroLandfill, 3003 Aluminum
11 skids,MDK ZeroLandfill, 5052 Aluminum
NON FE:#2 Insulated Copper,Pro Metal Recycling,ICW #2 (50% & CAT5/Tel)
NON FE:E-scrap mixed,Pro Metal Recycling,E-Scrap (Mixed)
NON FE:Alum/Cu Rads Dirty,Pro Metal Recycling,Al/Cu Radiators (Dirty)
NON FE:Aluminum BX Wire,Pro Metal Recycling,ICW #2 BX (Al)
NON FE:Sealed Units,Pro Metal Recycling,Sealed Units / Compressors (Vader)
NON FE:Stainless Steel,Pro Metal Recycling,Stainless
NON FE:Alum/Cu Radiators,Pro Metal Recycling,Al/Cu Radiators (Clean)
90/10 brass in bucket,Pro Metal Recycling,Yellow Brass (90/10)
chopped EDM wire in a bucket,Pro Metal Recycling,Copper Wire Turnings
NON FE:Ballasts,Pro Metal Recycling,Ballasts (Electronic)
10/10,Pro Metal Recycling,Al Extrusion 6063 10/10
radiator ends,Pro Metal Recycling,Radiator Ends (Cu Breakage)
NON FE:Thermal extrusions,Pro Metal Recycling,Thermal Break Aluminum Extrusion
one large motor,Pro Metal Recycling,Electric Motors (Large <1000 lb)
NON FE:Open eye Heliax wire,Pro Metal Recycling,ICW #1 (Heliax 57% Baled)
one bale,Pro Metal Recycling,IGNORE
Batteries,Pro Metal Recycling,Lead-Acid Batteries (Auto)
Al Bkg,Pro Metal Recycling,Al Breakage
10/10 extrusion,Pro Metal Recycling,Al Extrusion 6063 10/10
Al bkg,Pro Metal Recycling,Al Breakage
window A/C units,Pro Metal Recycling,Window A/C Units
window A/C,Pro Metal Recycling,Window A/C Units
C182 turnings,Pro Metal Recycling,Copper C182 Turnings
pumps,Pro Metal Recycling,Sealed Units / Compressors (Vader)
Loose dirty A/C rads,Pro Metal Recycling,Al/Cu Radiators (Dirty)
loose clean A/C rads,Pro Metal Recycling,Al/Cu Radiators (Clean)
8 boxes of E-scrap,Pro Metal Recycling,E-Scrap (Mixed)
6063 new production - 4 boxes,Pro Metal Recycling,Al Extrusion 6063 (New Production)
Ptd extrusion,Pro Metal Recycling,Painted Aluminum Extrusion
Stainless steel,Pro Metal Recycling,Stainless
Thermal break aluminum,Pro Metal Recycling,Thermal Break Aluminum Extrusion
Cu Brass rads,Pro Metal Recycling,Copper/Brass Radiators
2 & 1 copper wire,Pro Metal Recycling,ICW #1 (MCM 85% HG)
Cast Alum,Pro Metal Recycling,Al Cast (Clean)
#1 Ins. 80%,Pro Metal Recycling,ICW #1 (THHN 80%)
"#1 Ins, 80%",Pro Metal Recycling,ICW #1 (THHN 80%)
