,NETWORKING METAL, $0.750 ,,,INCOMPLETE, $0.800 ,,,,,
,AC UNIT WHOLE - WINDOW MOUNT,,,,SERVER CABINET, QUOTE ,,,,,
,PRINTER / COPIERS - PALLETIZED/SHRINK WRAPPED, $0.040 ,,E SCRAP-CIRCUIT BOARD,AUTO SHREDDER BOARD, $1.550 ,,,,,
,ROUTER - STEEL, $0.500 ,,,GREEN MOTHERBOARD , $2.400 ,,,,,
,ROUTERS-PLASTIC MODEM, $0.700 ,,,COLOR MOTHERBOARD, $1.550 ,,,,,
,E METER W GLASS COVER, $0.200 ,,,CRT BOARD, $0.300 ,,,,,
,E METER - DIGITAL, $0.850 ,,,FINGER BOARD CLEAN NO ATTACHMENT, $3.750 ,,,,,
,"E METER - ANALOG,NO GLASS", $0.550 ,,,GOLD RAM / NO BRACKET, $14.000 ,,,,,
,TELEPHONE OFFICE, $0.380 ,,,SILVER RAM, $4.900 ,,,,,
,UPS BATTERY BACKUP, $0.300 ,,,MEDIUM GRADE BOARD, $0.950 ,,,,,
,PLUG END BREAKAGE MIX, $0.300 ,,,POWER BOARD GREEN, $0.600 ,,,,,
,ALU COMPUTER FAN, $0.320 ,,,POWER BOARD BROWN , $0.350 ,,,,,
,PRINTER / COPIERS - UNPREPARED, FREE ,,,SERVER MOTHERBOARD , $4.500 ,,,,,
,RIBBON CABLE, $1.200 ,,,TELECOM BOARD HIGH GRADE, $3.250 ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
