AC ADAPTORS/LAPTOP&PHONE BATTERY/PHONE CHARGER/MISC.,Description,UnitPrice,,COMPUTRE/LAPTOP/CD ROM/HARD DRIVE/POWER SUPPLY/SERVER/BOARDS,Description,UnitPrice,,,,,
E SCRAP-AC ADAPTORS,LAPTOP NO CABLE NO WALL PLUGS & NO PHONE CHARGERS, $0.200 ,,E SCRAP-COMPUTER SCRAP,COMPLETE COMPUTER TOWER, $0.330 ,,,,,
,LAPTOP WITH CABLE NO WALL PLUGS & PHONE CHARGERS, $0.350 ,,,"INCOMPLETE TOWER W/O RAM, CUP, HARD DRIVE", $0.150 ,,,,,
E SCRAP-BATTERY,MODEM/LAPTOP BATTERY, No Buy ,,,MIX COMPUTER TOWER, $0.200 ,,,,,
,CELL PHONE BATTERY - LITHIUM ION, no buy ,,E SCRAP-LAPTOP,"COMPLETE W GOOD SCREEN 15""+", $0.900 ,,,,,
E SCRAP-OTHERS,PLASTIC COMPUTER FAN, FREE ,,,"INCOMPLETE 12""+", $0.700 ,,,,,
,CABLE BOX WITH HD, $0.350 ,,,CHROME BOOK/TABLET W GOOD SCREEN, $0.800 ,,,,,
,CABLE BOX NO HD W GREEN BOARD, $0.200 ,,E SCRAP-CD ROM,CD ROM, $0.170 ,,,,,
,CELL PHONE NO BATTERY, $2.500 ,,E SCRAP-HARD DRIVE,HARD DRIVE NO BOARD, $0.450 ,,,,,
,CELL PHONE WITH BATTERY, $1.750 ,,,HARD DRIVE NO BOARD SHREDDED, $0.250 ,,,,,
,CIRCUIT BREAKERS, $0.350 ,,,HARD DRIVE WITH FULL BOARD, $0.850 ,,,,,
,CPU GOLD, $3.500 ,,,HARD DRIVE WITH PARTIAL BOARD, $0.550 ,,,,,
,CREDIT CARD POS READER - STATIONARY, $0.350 ,,,HARD DRIVE WITH BOARD -PUNCHED / BENT / CRACKED OR WITH CADDY, $0.500 ,,,,,
,CREDIT CARD POS READER -MOBILE, $0.450 ,,,HARD DRIVE WITH BOARD SHREDDED, $0.500 ,,,,,
,DOCKING STATIONS, $0.170 ,,E SCRAP-POWER SUPPLY,SERVER POWER SUPPLY, $0.450 ,,,,,
,"ECM BOX, NO JELLY", $0.900 ,,,WITH CABLE, $0.400 ,,,,,
,FUSE BOX FROM CAR, $0.800 ,,,WITHOUT CABLE, $0.300 ,,,,,
,LCD MONITOR BROKEN, $-   ,,E SCRAP-SERVER,BLADE SERVER, $0.650 ,,,,,
,"NETWORK EQUIPMENT, SWITCH", $0.950 ,,,COMPLETE, $0.650 ,,,,,
,NETWORKING METAL, $0.550 ,,,INCOMPLETE, $0.600 ,,,,,
,AC UNIT WHOLE - WINDOW MOUNT,,,,SERVER CABINET, QUOTE ,,,,,
,PRINTER / COPIERS - PALLETIZED/SHRINK WRAPPED, $0.040 ,,E SCRAP-CIRCUIT BOARD,AUTO SHREDDER BOARD, $1.400 ,,,,,
,ROUTER - STEEL, $0.350 ,,,GREEN MOTHERBOARD , $2.750 ,,,,,
,ROUTERS-PLASTIC MODEM, $0.450 ,,,COLOR MOTHERBOARD, $1.000 ,,,,,
,E METER W GLASS COVER, $0.100 ,,,CRT BOARD, $0.100 ,,,,,
,E METER - DIGITAL, $0.650 ,,,FINGER BOARD CLEAN NO ATTACHMENT, $3.750 ,,,,,
,"E METER - ANALOG,NO GLASS", $0.450 ,,,GOLD RAM / NO BRACKET, $10.000 ,,,,,
,TELEPHONE OFFICE, $0.300 ,,,SILVER RAM, $4.250 ,,,,,
,UPS BATTERY BACKUP, $0.150 ,,,MEDIUM GRADE BOARD, $0.700 ,,,,,
,PLUG END BREAKAGE MIX, $0.200 ,,,POWER BOARD GREEN, $0.600 ,,,,,
,ALU COMPUTER FAN, $0.100 ,,,POWER BOARD BROWN , $0.350 ,,,,,
,PRINTER / COPIERS - UNPREPARED, FREE ,,,SERVER MOTHERBOARD , $3.400 ,,,,,
,RIBBON CABLE, $0.850 ,,,TELECOM BOARD HIGH GRADE, $2.500 ,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
