"Date","Type","Ref no.","Contact","Due date","Balance","Total amount","Memo","Last modified date"
"03/18/2024","Deposit","","Rochester Iron & Metal","","$0.00","$5,965.71","","Sep 16, 2024, 10:46 AM",
"03/18/2024","Deposit","","Rochester Iron & Metal","","$0.00","$6,641.52","","Sep 16, 2024, 10:46 AM",
"03/18/2024","Payment","ACH","Rochester Iron & Metal","","$0.00","$5,965.71","","Mar 18, 2024, 8:14 AM",
"03/18/2024","Payment","ACH","Rochester Iron & Metal","","$0.00","$6,641.52","","Mar 18, 2024, 8:13 AM",
"03/05/2024","Invoice","3031","Rochester Iron & Metal","04/04/2024","$0.00","$2,179.80","","Apr 26, 2024, 1:20 PM",
"02/22/2024","Invoice","3001","Rochester Iron & Metal","03/23/2024","$0.00","$4,534.55","","Apr 22, 2024, 7:49 AM",
"02/22/2024","Invoice","3000","Rochester Iron & Metal","03/23/2024","$0.00","$4,080.00","","Apr 12, 2024, 8:35 AM",
"02/07/2024","Invoice","2971","Rochester Iron & Metal","03/08/2024","$0.00","$5,296.79","","May 31, 2024, 7:32 AM",
"02/02/2024","Invoice","2961","Rochester Iron & Metal","03/03/2024","$0.00","$7,806.59","","Mar 29, 2024, 8:18 AM",
"01/30/2024","Invoice","2945","Rochester Iron & Metal","02/29/2024","$0.00","$6,641.52","","Mar 18, 2024, 8:13 AM",
"01/26/2024","Invoice","2939","Rochester Iron & Metal","02/25/2024","$0.00","$5,965.71","","Jun 27, 2024, 9:44 AM",
"01/26/2024","Deposit","","Rochester Iron & Metal","","$0.00","$34,521.07","","Sep 11, 2024, 10:20 AM",
"01/26/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$4,650.00","","Jan 26, 2024, 9:13 AM",
"01/26/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$7,072.63","","Jan 26, 2024, 9:10 AM",
"01/26/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$7,480.45","","Jan 26, 2024, 8:55 AM",
"01/26/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$6,206.52","","Jan 26, 2024, 8:54 AM",
"01/26/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$9,111.47","","Jan 26, 2024, 8:52 AM",
"01/20/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$6,796.88","","Jan 20, 2024, 8:12 AM",
"01/20/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$2,596.75","","Jan 20, 2024, 8:10 AM",
"01/20/2024","Payment","P611431670","Rochester Iron & Metal","","$0.00","$6,124.96","","Jan 20, 2024, 8:08 AM",
"01/19/2024","Deposit","","Rochester Iron & Metal","","$0.00","$15,518.59","","Sep 11, 2024, 10:20 AM",
"01/09/2024","Deposit","","Rochester Iron & Metal","","$0.00","$23,433.17","","Sep 11, 2024, 10:20 AM",
"01/08/2024","Payment","ACH","Rochester Iron & Metal","","$0.00","$23,433.17","","Sep 11, 2024, 9:43 AM",
"01/04/2024","Invoice","2896","Rochester Iron & Metal","02/03/2024","$0.00","$4,650.00","","Jan 26, 2024, 9:13 AM",
"12/23/2023","Deposit","","Rochester Iron & Metal","","$0.00","$18,079.33","","Dec 23, 2023, 10:38 AM",
"12/23/2023","Payment","044223","Rochester Iron & Metal","","$0.00","$6,912.99","","Dec 23, 2023, 10:38 AM",
"12/23/2023","Payment","042762","Rochester Iron & Metal","","$0.00","$5,648.30","","Dec 23, 2023, 10:36 AM",
"12/23/2023","Payment","041370","Rochester Iron & Metal","","$0.00","$4,490.00","","Dec 23, 2023, 10:35 AM",
"12/23/2023","Payment","041323","Rochester Iron & Metal","","$0.00","$1,028.04","","Dec 23, 2023, 10:34 AM",
"12/14/2023","Invoice","2862","Rochester Iron & Metal","01/13/2024","$0.00","$7,072.63","","Jan 26, 2024, 9:10 AM",
"12/13/2023","Invoice","2860","Rochester Iron & Metal","01/12/2024","$0.00","$7,480.45","","Jan 26, 2024, 8:55 AM",
"12/12/2023","Invoice","2857","Rochester Iron & Metal","01/11/2024","$0.00","$6,206.52","","Jan 26, 2024, 8:54 AM",
"12/08/2023","Invoice","2848","Rochester Iron & Metal","01/07/2024","$0.00","$6,796.88","","Jan 20, 2024, 8:12 AM",
"12/05/2023","Invoice","2840","Rochester Iron & Metal","01/04/2024","$0.00","$9,111.47","","Jun 27, 2024, 9:44 AM",
"12/04/2023","Invoice","2837","Rochester Iron & Metal","01/03/2024","$0.00","$2,596.75","","Jan 20, 2024, 8:10 AM",
"12/01/2023","Invoice","2829","Rochester Iron & Metal","12/31/2023","$0.00","$6,124.96","","Jan 20, 2024, 8:08 AM",
"12/01/2023","Deposit","","Rochester Iron & Metal","","$0.00","$5,018.42","","Dec 1, 2023, 8:47 AM",
"12/01/2023","Payment","ACH","Rochester Iron & Metal","","$0.00","$5,018.42","","Dec 1, 2023, 8:47 AM",
"11/30/2023","Invoice","2818","Rochester Iron & Metal","12/30/2023","$0.00","$5,718.04","","Oct 28, 2024, 8:53 AM",
"11/30/2023","Invoice","2816","Rochester Iron & Metal","12/30/2023","$0.00","$6,003.30","","Jan 8, 2024, 8:45 AM",
"11/28/2023","Invoice","2812","Rochester Iron & Metal","12/28/2023","$0.00","$6,382.05","","Jan 8, 2024, 8:45 AM",
"11/27/2023","Invoice","2808","Rochester Iron & Metal","12/27/2023","$0.00","$6,329.78","","Jan 8, 2024, 8:45 AM",
"11/27/2023","Invoice","2807","Rochester Iron & Metal","12/27/2023","$0.00","$6,912.99","","Dec 23, 2023, 10:38 AM",
"11/13/2023","Invoice","2783","Rochester Iron & Metal","12/13/2023","$0.00","$5,648.30","","Dec 23, 2023, 10:36 AM",
"11/07/2023","Invoice","2763","Rochester Iron & Metal","12/07/2023","$0.00","$4,490.00","","Dec 23, 2023, 10:35 AM",
"11/06/2023","Invoice","2761","Rochester Iron & Metal","12/06/2023","$0.00","$1,028.04","","Dec 23, 2023, 10:34 AM",
"11/03/2023","Deposit","","Rochester Iron & Metal","","$0.00","$14,033.05","","Nov 3, 2023, 8:46 AM",
"11/03/2023","Payment","ACH","Rochester Iron & Metal","","$0.00","$9,009.39","","Nov 3, 2023, 8:45 AM",
"11/03/2023","Payment","","Rochester Iron & Metal","","$0.00","$5,023.66","","Nov 3, 2023, 8:42 AM",
"10/27/2023","Invoice","2729","Rochester Iron & Metal","11/26/2023","$0.00","$5,018.42","","Dec 1, 2023, 8:47 AM",
"10/23/2023","Deposit","","Rochester Iron & Metal","","$0.00","$8,610.86","","Oct 23, 2023, 8:52 AM",
"10/23/2023","Payment","P611431670","Rochester Iron & Metal","","$0.00","$5,205.36","","Oct 23, 2023, 8:52 AM",
"10/23/2023","Payment","P611431670","Rochester Iron & Metal","","$0.00","$3,405.50","","Oct 23, 2023, 8:50 AM",
"10/17/2023","Invoice","2707","Rochester Iron & Metal","11/16/2023","$0.00","$4,027.68","","Nov 3, 2023, 8:45 AM",
"10/13/2023","Invoice","2694","Rochester Iron & Metal","11/12/2023","$0.00","$2,219.11","","Nov 3, 2023, 8:45 AM",
"10/13/2023","Deposit","","Rochester Iron & Metal","","$0.00","$5,487.72","","Oct 13, 2023, 8:19 AM",
"10/13/2023","Deposit","","Rochester Iron & Metal","","$0.00","$7,100.00","","Oct 13, 2023, 8:19 AM",
"10/13/2023","Payment","914202304","Rochester Iron & Metal","","$0.00","$7,100.00","","Oct 13, 2023, 8:19 AM",
"10/13/2023","Payment","914202304","Rochester Iron & Metal","","$0.00","$5,487.72","","Oct 13, 2023, 8:17 AM",
"10/06/2023","Invoice","2686","Rochester Iron & Metal","11/05/2023","$0.00","$2,762.60","","Aug 19, 2024, 1:20 PM",
"09/25/2023","Invoice","2649","Rochester Iron & Metal","10/25/2023","$0.00","$5,023.66","","Nov 3, 2023, 8:42 AM",
"09/22/2023","Invoice","2645","Rochester Iron & Metal","10/22/2023","$0.00","$5,205.36","","Oct 23, 2023, 8:52 AM",
"09/21/2023","Invoice","2642","Rochester Iron & Metal","10/21/2023","$0.00","$3,405.50","","Oct 23, 2023, 8:50 AM",
"09/08/2023","Deposit","","Rochester Iron & Metal","","$0.00","$7,215.10","","Sep 8, 2023, 10:18 AM",
"09/08/2023","Payment","ACH","Rochester Iron & Metal","","$0.00","$7,215.10","","Sep 8, 2023, 10:17 AM",
"09/07/2023","Invoice","2618","Rochester Iron & Metal","10/07/2023","$0.00","$7,100.00","","Oct 13, 2023, 8:19 AM",
"08/28/2023","Invoice","2583","Rochester Iron & Metal","09/27/2023","$0.00","$5,487.72","","Oct 13, 2023, 8:17 AM",
"07/31/2023","Invoice","2501","Rochester Iron & Metal","08/30/2023","$0.00","$3,598.90","","Sep 8, 2023, 10:17 AM",
"07/27/2023","Invoice","2490","Rochester Iron & Metal","08/26/2023","$0.00","$3,616.20","","Jun 27, 2024, 9:45 AM",
"07/21/2023","Deposit","","Rochester Iron & Metal","","$0.00","$5,391.43","","Jul 19, 2023, 8:26 AM",
"07/21/2023","Payment","ACH 016513","Rochester Iron & Metal","","$0.00","$5,391.43","","Jul 19, 2023, 8:26 AM",
"07/21/2023","Deposit","","Rochester Iron & Metal","","$0.00","$6,167.81","","Jul 19, 2023, 8:24 AM",
"07/21/2023","Payment","ACH 016330","Rochester Iron & Metal","","$0.00","$6,167.81","","Jul 19, 2023, 8:24 AM",
"06/22/2023","Deposit","","Rochester Iron & Metal","","$0.00","$4,692.00","","Jun 22, 2023, 10:12 AM",
"06/22/2023","Payment","6082023","Rochester Iron & Metal","","$0.00","$4,692.00","","Jun 22, 2023, 10:11 AM",
"06/16/2023","Invoice","2394","Rochester Iron & Metal","07/16/2023","$0.00","$5,391.43","","Jul 19, 2023, 8:26 AM",
"06/15/2023","Invoice","2390","Rochester Iron & Metal","07/15/2023","$0.00","$6,167.81","","Jul 19, 2023, 8:24 AM",
"05/30/2023","Invoice","2343","Rochester Iron & Metal","06/30/2023","$0.00","$1,173.00","","Jun 22, 2023, 10:10 AM",
"05/25/2023","Invoice","2335","Rochester Iron & Metal","06/24/2023","$0.00","$3,519.00","","Jun 22, 2023, 10:10 AM",
"04/21/2023","Deposit","","Rochester Iron & Metal","","$0.00","$8,622.90","","May 24, 2023, 1:59 PM",
"04/21/2023","Payment","4202023","Rochester Iron & Metal","","$0.00","$8,622.90","","May 24, 2023, 1:58 PM",
"04/14/2023","Invoice","2334","Rochester Iron & Metal","05/14/2023","$0.00","$5,032.50","","Jan 31, 2025, 12:21 PM",
"04/14/2023","Invoice","2226","Rochester Iron & Metal","05/14/2023","$0.00","$3,590.40","","May 24, 2023, 1:58 PM",
"04/11/2023","Deposit","","Rochester Iron & Metal","","$0.00","$6,314.20","","Apr 11, 2023, 8:16 AM",
"04/11/2023","Payment","4062023","Rochester Iron & Metal","","$0.00","$6,314.20","","Apr 11, 2023, 8:16 AM",
"03/31/2023","Deposit","","Rochester Iron & Metal","","$0.00","$17,763.08","","Nov 9, 2023, 6:50 PM",
"03/31/2023","Payment","3302023","Rochester Iron & Metal","","$0.00","$17,763.08","","Mar 31, 2023, 8:08 AM",
"03/24/2023","Deposit","","Rochester Iron & Metal","","$0.00","$4,444.29","","Mar 24, 2023, 8:13 AM",
"03/24/2023","Payment","","Rochester Iron & Metal","","$0.00","$4,444.29","","Mar 24, 2023, 8:12 AM",
"03/17/2023","Invoice","2144","Rochester Iron & Metal","04/16/2023","$0.00","$4,444.29","","Mar 24, 2023, 8:12 AM",
